,abb,median_days_open,month_id,state
1090,MN,11,2009_10,Minnesota
1092,MS,49,2009_10,Mississippi
1091,MO,16,2009_10,Missouri
1093,MT,45,2009_10,Montana
1096,NE,22,2009_10,Nebraska
1100,NV,24,2009_10,Nevada
1097,NH,39,2009_10,New Hampshire
1098,NJ,37,2009_10,New Jersey
1099,NM,20,2009_10,New Mexico
1101,NY,0,2009_10,New York
1094,NC,13,2009_10,North Carolina
1095,ND,10,2009_10,North Dakota
1102,OH,4,2009_10,Ohio
1103,OK,12,2009_10,Oklahoma
1104,OR,18,2009_10,Oregon
1105,PA,20,2009_10,Pennsylvania
1106,RI,38,2009_10,Rhode Island
1107,SC,9,2009_10,South Carolina
1108,SD,34,2009_10,South Dakota
1109,TN,14,2009_10,Tennessee
1110,TX,13,2009_10,Texas
1111,UT,17,2009_10,Utah
1113,VT,0,2009_10,Vermont
1112,VA,18,2009_10,Virginia
1114,WA,27,2009_10,Washington
1116,WV,85,2009_10,West Virginia
1115,WI,0,2009_10,Wisconsin
1117,WY,36,2009_10,Wyoming
1119,AL,2,2009_11,Alabama
1118,AK,6,2009_11,Alaska
1121,AZ,19,2009_11,Arizona
1120,AR,18,2009_11,Arkansas
1122,CA,8,2009_11,California
1123,CO,22,2009_11,Colorado
1124,CT,36,2009_11,Connecticut
1126,DE,34,2009_11,Delaware
1125,DC,0,2009_11,District of Columbia
1127,FL,26,2009_11,Florida
1128,GA,33,2009_11,Georgia
1129,HI,0,2009_11,Hawaii
1131,ID,57,2009_11,Idaho
1132,IL,10,2009_11,Illinois
1133,IN,32,2009_11,Indiana
1130,IA,0,2009_11,Iowa
1134,KS,22,2009_11,Kansas
1135,KY,28,2009_11,Kentucky
1136,LA,23,2009_11,Louisiana
1139,ME,0,2009_11,Maine
1138,MD,36,2009_11,Maryland
1137,MA,34,2009_11,Massachusetts
1140,MI,51,2009_11,Michigan
1141,MN,10,2009_11,Minnesota
1143,MS,34,2009_11,Mississippi
1142,MO,24,2009_11,Missouri
1144,MT,429,2009_11,Montana
1147,NE,19,2009_11,Nebraska
1151,NV,29,2009_11,Nevada
1148,NH,45,2009_11,New Hampshire
1149,NJ,36,2009_11,New Jersey
1150,NM,68,2009_11,New Mexico
1152,NY,0,2009_11,New York
1145,NC,20,2009_11,North Carolina
1146,ND,43,2009_11,North Dakota
1153,OH,0,2009_11,Ohio
1154,OK,40,2009_11,Oklahoma
1155,OR,35,2009_11,Oregon
1156,PA,28,2009_11,Pennsylvania
1157,RI,12,2009_11,Rhode Island
1158,SC,0,2009_11,South Carolina
1159,SD,16,2009_11,South Dakota
1160,TN,20,2009_11,Tennessee
1161,TX,16,2009_11,Texas
1162,UT,11,2009_11,Utah
1164,VT,0,2009_11,Vermont
1163,VA,0,2009_11,Virginia
1165,WA,14,2009_11,Washington
1167,WV,26,2009_11,West Virginia
1166,WI,11,2009_11,Wisconsin
1168,WY,53,2009_11,Wyoming
1170,AL,0,2009_12,Alabama
1169,AK,102,2009_12,Alaska
1172,AZ,1,2009_12,Arizona
1171,AR,4,2009_12,Arkansas
1173,CA,2,2009_12,California
1174,CO,24,2009_12,Colorado
1175,CT,18,2009_12,Connecticut
1177,DE,6,2009_12,Delaware
1176,DC,0,2009_12,District of Columbia
1178,FL,28,2009_12,Florida
1179,GA,34,2009_12,Georgia
1180,HI,0,2009_12,Hawaii
1182,ID,29,2009_12,Idaho
1183,IL,12,2009_12,Illinois
1184,IN,3,2009_12,Indiana
1181,IA,0,2009_12,Iowa
1185,KS,28,2009_12,Kansas
1186,KY,26,2009_12,Kentucky
1187,LA,45,2009_12,Louisiana
1190,ME,124,2009_12,Maine
1189,MD,0,2009_12,Maryland
1188,MA,30,2009_12,Massachusetts
1191,MI,25,2009_12,Michigan
1192,MN,4,2009_12,Minnesota
